|rok  |odvetvi                                                     |typ_platu                         |prumerny_plat |mezirocni_trend|prumerny_plat_predchozi_rok|prumerna_mezirocni_zmena_platu_abs|prumerna_mezirocni_zmena_platu_procentne|
|2,009|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|26,555.25,- Kč|Rostoucí       |25,759.00,- Kč             |796.25,- Kč                       |3.091 %                                 |
|2,009|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|38,206.75,- Kč|Rostoucí       |34,779.75,- Kč             |3,427.00,- Kč                     |9.853 %                                 |
|2,009|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|21,360.75,- Kč|Rostoucí       |20,097.50,- Kč             |1,263.25,- Kč                     |6.286 %                                 |
|2,009|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|21,637.50,- Kč|Rostoucí       |20,985.25,- Kč             |652.25,- Kč                       |3.108 %                                 |
|2,009|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|21,627.00,- Kč|Rostoucí       |20,036.75,- Kč             |1,590.25,- Kč                     |7.937 %                                 |
|2,009|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|17,193.00,- Kč|Klesající      |17,292.50,- Kč             |-99.50,- Kč                       |-0.575 %                                |
|2,009|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|21,825.25,- Kč|Rostoucí       |21,128.50,- Kč             |696.75,- Kč                       |3.298 %                                 |
|2,010|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|15,222.00,- Kč|Rostoucí       |15,041.00,- Kč             |181.00,- Kč                       |1.203 %                                 |
|2,010|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|20,264.75,- Kč|Rostoucí       |19,919.25,- Kč             |345.50,- Kč                       |1.735 %                                 |
|2,010|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,740.25,- Kč|Rostoucí       |22,688.75,- Kč             |51.50,- Kč                        |0.227 %                                 |
|2,010|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|42,807.25,- Kč|Rostoucí       |42,237.75,- Kč             |569.50,- Kč                       |1.348 %                                 |
|2,010|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|18,610.50,- Kč|Rostoucí       |18,325.50,- Kč             |285.00,- Kč                       |1.555 %                                 |
|2,010|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|16,803.75,- Kč|Rostoucí       |16,781.75,- Kč             |22.00,- Kč                        |0.131 %                                 |
|2,010|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|45,339.50,- Kč|Rostoucí       |44,708.50,- Kč             |631.00,- Kč                       |1.411 %                                 |
|2,010|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|30,094.75,- Kč|Klesající      |30,284.00,- Kč             |-189.25,- Kč                      |-0.625 %                                |
|2,010|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|21,961.75,- Kč|Rostoucí       |21,813.00,- Kč             |148.75,- Kč                       |0.682 %                                 |
|2,010|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|30,203.50,- Kč|Rostoucí       |27,960.50,- Kč             |2,243.00,- Kč                     |8.022 %                                 |
|2,010|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|12,644.50,- Kč|Rostoucí       |11,782.75,- Kč             |861.75,- Kč                       |7.314 %                                 |
|2,010|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|21,210.50,- Kč|Rostoucí       |20,577.00,- Kč             |633.50,- Kč                       |3.079 %                                 |
|2,010|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|26,470.50,- Kč|Klesající      |26,555.25,- Kč             |-84.75,- Kč                       |-0.319 %                                |
|2,010|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|38,840.00,- Kč|Rostoucí       |38,206.75,- Kč             |633.25,- Kč                       |1.657 %                                 |
|2,010|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|20,928.00,- Kč|Klesající      |21,360.75,- Kč             |-432.75,- Kč                      |-2.026 %                                |
|2,010|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|22,594.00,- Kč|Rostoucí       |21,637.50,- Kč             |956.50,- Kč                       |4.421 %                                 |
|2,010|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|22,286.25,- Kč|Rostoucí       |21,627.00,- Kč             |659.25,- Kč                       |3.048 %                                 |
|2,010|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|18,019.50,- Kč|Rostoucí       |17,193.00,- Kč             |826.50,- Kč                       |4.807 %                                 |
