|rok  |kod|nazev                                                       |datovy_typ                        |prumerna_hodnota|jednotka|
|2,011|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|18,674          |Kč      |
|2,011|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|23,500.5        |Kč      |
|2,012|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|15,935          |Kč      |
|2,012|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|21,438.5        |Kč      |
|2,012|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,998.5        |Kč      |
|2,012|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|45,689.5        |Kč      |
|2,012|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|19,550.5        |Kč      |
|2,012|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|17,853          |Kč      |
|2,012|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|49,706.5        |Kč      |
|2,012|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|31,141.25       |Kč      |
|2,012|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|22,571.75       |Kč      |
|2,012|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|32,487          |Kč      |
|2,012|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|12,705.75       |Kč      |
|2,012|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|22,441          |Kč      |
|2,012|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|26,285.25       |Kč      |
|2,012|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|42,107.25       |Kč      |
|2,012|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|21,912.5        |Kč      |
|2,012|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|23,261.75       |Kč      |
|2,012|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|23,621.5        |Kč      |
|2,012|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|19,537          |Kč      |
|2,012|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|24,221.75       |Kč      |
|2,013|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|16,026          |Kč      |
|2,013|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|21,094          |Kč      |
|2,013|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|23,127          |Kč      |
|2,013|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|45,240          |Kč      |
|2,013|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|19,293          |Kč      |
|2,013|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|17,901.5        |Kč      |
|2,013|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|45,233.5        |Kč      |
|2,013|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|30,274.25       |Kč      |
|2,013|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|22,073.75       |Kč      |
|2,013|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,685.75       |Kč      |
|2,013|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|13,115          |Kč      |
|2,013|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|22,203.75       |Kč      |
|2,013|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|26,293.5        |Kč      |
|2,013|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|40,299.75       |Kč      |
|2,013|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|22,279.75       |Kč      |
|2,013|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|23,184.25       |Kč      |
|2,013|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|23,652          |Kč      |
|2,013|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|20,207          |Kč      |
|2,013|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|24,562.25       |Kč      |
|2,014|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|16,191          |Kč      |
|2,014|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|21,811.75       |Kč      |
|2,014|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|23,600          |Kč      |
|2,014|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|46,875          |Kč      |
|2,014|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|20,118.75       |Kč      |
|2,014|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|18,036.5        |Kč      |
|2,014|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|46,999.5        |Kč      |
|2,014|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|31,093.75       |Kč      |
|2,014|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|22,605          |Kč      |
|2,014|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,370.25       |Kč      |
|2,014|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|13,429          |Kč      |
|2,014|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|22,906.75       |Kč      |
|2,014|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|27,104.75       |Kč      |
|2,014|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|40,951.25       |Kč      |
|2,014|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|22,692.5        |Kč      |
|2,014|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|23,845.75       |Kč      |
|2,014|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|24,255.75       |Kč      |
|2,014|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|20,952          |Kč      |
|2,014|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|25,308.25       |Kč      |
|2,015|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|16,559.5        |Kč      |
|2,015|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|22,569          |Kč      |
|2,015|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|24,369.5        |Kč      |
|2,015|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|47,833          |Kč      |
|2,015|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|20,850.5        |Kč      |
|2,015|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|18,601          |Kč      |
|2,015|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|47,077.25       |Kč      |
|2,015|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|32,029          |Kč      |
|2,015|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|23,586.25       |Kč      |
|2,015|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,539.5        |Kč      |
|2,015|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|14,198          |Kč      |
|2,015|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|23,912.75       |Kč      |
|2,015|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|28,409.25       |Kč      |
|2,015|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|40,514.5        |Kč      |
|2,015|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|23,102.75       |Kč      |
|2,015|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|24,367          |Kč      |
|2,015|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|25,352          |Kč      |
|2,015|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|21,232.25       |Kč      |
|2,015|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|26,131.75       |Kč      |
|2,016|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|17,537          |Kč      |
|2,016|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|23,635.5        |Kč      |
|2,016|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|25,505.75       |Kč      |
|2,016|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|49,160.75       |Kč      |
|2,016|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|22,202          |Kč      |
|2,016|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|19,149.75       |Kč      |
|2,016|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|48,683          |Kč      |
|2,016|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|33,141.75       |Kč      |
|2,016|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|24,551.25       |Kč      |
|2,016|         |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,348          |Kč      |
|2,016|         |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|15,042.25       |Kč      |
|2,016|         |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|25,070.25       |Kč      |
|2,016|         |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|30,007.5        |Kč      |
|2,016|         |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|40,955.5        |Kč      |
|2,016|         |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|23,938.5        |Kč      |
|2,016|         |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|25,007.75       |Kč      |
|2,016|         |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|26,577.5        |Kč      |
|2,016|         |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|22,240          |Kč      |
|2,016|         |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|27,237.5        |Kč      |
|2,017|         |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|18,861          |Kč      |
|2,017|         |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|25,194.75       |Kč      |
|2,017|         |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|27,152.25       |Kč      |
|2,017|         |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|51,640.75       |Kč      |
|2,017|         |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|24,199.25       |Kč      |
|2,017|         |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|20,017.5        |Kč      |
|2,017|         |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|50,524.25       |Kč      |
|2,017|         |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|35,010.75       |Kč      |
